artwork,abstract,accuracy,animacy,balance,colorsat,colortemp,complexity,depth,emotion,realism,stroke,symbolism,pc1-concreteness,pc2-energy,pc3-colorrad,saliency_standardized
18Ernst-LaVilleEntiere,3.6,2.333333333,1.4,2.533333333,3.333333333,1.866666667,2.333333333,3.2,1.866666667,3.466666667,2.2,2,-0.451893608,-1.327587454,-1.172068439,1.627336573
19Rembrandt-MilitaCompany,4.533333333,1.933333333,4.066666667,2.666666667,2.666666667,2.733333333,3.533333333,3.466666667,2.933333333,4.333333333,1.8,2.866666667,-1.154920657,0.870344288,0.008990336,-0.301407211
20guillaumin-ivry_soleil couchant,3.866666667,3.066666667,3,2.533333333,3.266666667,1.666666667,2.666666667,3.733333333,2.2,3.866666667,3.4,1.666666667,-0.420165538,-0.667686819,-0.527185645,-0.401865873
21Mucha_salome-1897,3.8,2.8,3.933333333,2.733333333,3.4,1.4,2.666666667,2.066666667,3.066666667,3.066666667,1.266666667,3.066666667,-0.483920856,0.246385464,-1.592131317,-1.532328036
22Rafael-Transfiguration,3.6,2.466666667,4.466666667,1.866666667,3.933333333,3.8,4.266666667,3.466666667,3.666666667,1.6,2.2,4.6,0.034368127,2.30345887,0.271311484,0.96461769
23Rousseau-SleepingGypsy,3.266666667,3.466666667,3.8,3.666666667,2.6,4.266666667,2.4,2.8,3.133333333,2.666666667,2.066666667,3.733333333,0.28510143,0.804946345,1.350863936,1.613656696
24VanGogh-PotatoEaters,4.266666667,2.066666667,4.066666667,2,2.466666667,3.4,3.4,3.133333333,3.4,4.4,2.133333333,2.266666667,-0.951341789,0.855561616,0.740917488,-0.253754335
25Seurat-La_Parade_detail,2.866666667,3.733333333,1.8,2.133333333,3.733333333,2.2,3.6,1.6,2.333333333,2.466666667,3.4,2.733333333,1.068003547,-0.898840369,-0.772095411,-0.644078962
26Seurat-LaGrandeJatte,3.866666667,2.666666667,3.4,1.933333333,2.266666667,3.8,3.466666667,3.6,2.333333333,4.2,2.266666667,2.4,-0.540157061,0.333970463,1.152049386,3.953621403
27seurat-asnieres,4.2,2.866666667,3.8,2.2,2.133333333,3.733333333,3.266666667,3.6,2,4.266666667,2.4,1.8,-0.645825996,0.088584919,1.287246654,0.25386028
28Monet-theGrainstack,2.8,3.533333333,1.533333333,3.266666667,3,2.2,1.933333333,2.466666667,1.933333333,3.333333333,3.733333333,1.933333333,0.643559612,-1.768701624,-0.099857855,-0.469546841
29Klee-AdMarginen,1.6,4.266666667,1.666666667,3.2,3.4,1.866666667,2.4,1.266666667,2,1.8,2.866666667,3.4,1.606191243,-1.374700308,-0.927978628,-0.402637713
30signac-palais-avignon,3.333333333,3.466666667,1.4,2.466666667,3,3,3.2,3.066666667,2.333333333,3.533333333,3.733333333,2.2,0.469788861,-0.913215996,0.432620058,4.386912686
31VanGogh-Cypresses,2.466666667,4.066666667,2.466666667,3.2,3.333333333,4.066666667,3,2.133333333,2.4,2.466666667,3.4,2.8,1.233283052,-0.403122122,1.022025297,-0.367729059
32VanEyck-GiovanniArnolfini,4.666666667,1.6,3.133333333,2.333333333,3.333333333,3.066666667,2.866666667,3.666666667,3.133333333,4.4,1.2,2.933333333,-1.410247079,0.643928914,-0.450387903,1.025202003
